case_name,citation,court,judgment_date,judges,source_url,scraped_at
"The Universities (Catholic University of Eastern Africa Charter Amendment), 2025",Legal Notice 226 of 2025,Subordinate Courts,2025-12-29,,https://new.kenyalaw.org/akn/ke/act/ln/2025/226/eng@2025-12-29,2026-01-20T21:37:24.767752
"The Traffic Act Exemption, 2025",Legal Notice 198 of 2025,Subordinate Courts,2025-12-11,,https://new.kenyalaw.org/akn/ke/act/ln/2025/198/eng@2025-12-11,2026-01-20T21:37:24.768335
"The Capital Markets (Licensing Requirements)(General) Regulations, 2025",Legal Notice 197 of 2025,Subordinate Courts,2025-12-11,,https://new.kenyalaw.org/akn/ke/act/ln/2025/197/eng@2025-12-11,2026-01-20T21:37:24.768732
Mwingi Law Court – General Notice – 26 January 2026 to 30 January 2026,,Subordinate Courts,2026-01-26,BM Ekhubi,https://new.kenyalaw.org/akn/ke/doc/general_notice/kemc/2026-01-26/1/eng@2026-01-26,2026-01-20T21:37:24.769045
Business Premises Rent Tribunal – Daily Cause List – 21 January 2026,,Subordinate Courts,2026-01-21,"A Muma,
                              
                            
                              
                              CN Mugambi,
                              
                            
                              
                              Gad Chemoiyai,
                              
                            
                              
                              Gakuhi Chege,
                              
                            
                              
                              James Ndegwa,
                              
                            
                              
                              J Osodo,
                              
                            
                              
                              Joyce Murigi,
                              
                            
                              
                              LW Mbacho,
                              
                            
                              
                              M Makori,
                              
                            
                              
                              P Kitur,
                              
                            
                              
                              P May",https://new.kenyalaw.org/akn/ke/doc/cause-list-daily/kebprt/2026-01-21/1/eng@2026-01-21,2026-01-20T21:37:24.769381
"The Petroleum (Liquefied Petroleum Gas)(No. 2) Regulations, 2025",Legal Notice 189 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/189/eng@2025-11-14,2026-01-20T21:37:24.769715
"The Petroleum (Retail Dispensing Site Construction and Licensing)(No. 2) Regulations, 2025",Legal Notice 188 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/188/eng@2025-11-14,2026-01-20T21:37:24.770107
"The Petroleum (Information and Statistics)(No. 2) Regulations, 2025",Legal Notice 187 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/187/eng@2025-11-14,2026-01-20T21:37:24.770478
Business Premises Rent Tribunal – Daily Cause List – 20 January 2026 to 20 January 2026,,Subordinate Courts,2026-01-20,"A Muma,
                              
                            
                              
                              CN Mugambi,
                              
                            
                              
                              Gad Chemoiyai,
                              
                            
                              
                              Gakuhi Chege,
                              
                            
                              
                              James Ndegwa,
                              
                            
                              
                              J Osodo,
                              
                            
                              
                              Joyce Murigi,
                              
                            
                              
                              LW Mbacho,
                              
                            
                              
                              P Kitur,
                              
                            
                              
                              P May",https://new.kenyalaw.org/akn/ke/doc/cause-list-daily/kebprt/2026-01-20/1/eng@2026-01-20,2026-01-20T21:37:24.770785
Rent Restriction Tribunal – Weekly Cause List – 26 January 2026 to 29 January 2026,,Subordinate Courts,2026-01-26,"HK KORIR,
                              
                            
                              
                              Jacqueliyn Katee,
                              
                            
                              
                              JK Ikingi",https://new.kenyalaw.org/akn/ke/doc/cause-list-weekly/kerrt/2026-01-26/1/eng@2026-01-26,2026-01-20T21:37:24.771277
Moyale Law Courts – Monthly Cause List – 02 January 2026 to 31 January 2026,,Subordinate Courts,2026-01-02,"Kombe Larry Matawi,
                              
                            
                              
                              WK Cheruiyot",https://new.kenyalaw.org/akn/ke/doc/cause-list-monthly/kemc/2026-01-02/1/eng@2026-01-02,2026-01-20T21:37:24.771681
"The Petroleum (Lubricants Facility Construction and Business Licensing)(No. 2) Regulations,  2025",Legal Notice 186 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/186/eng@2025-11-14,2026-01-20T21:37:24.771917
"The Petroleum (Products Quality Management)(No. 2) Regulations, 2025",Legal Notice 185 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/185/eng@2025-11-14,2026-01-20T21:37:24.772138
"The Petroleum (Operation of Common User Petroleum Facilities)(No. 2) Regulations, 2025",Legal Notice 184 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/184/eng@2025-11-14,2026-01-20T21:37:24.772338
"The Petroleum (Business Licensing and Petroleum Logistics Facility Construction Permit)(No. 2) Regulations, 2025",Legal Notice 183 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/183/eng@2025-11-14,2026-01-20T21:37:24.772587
"The Petroleum (Licensing of Petroleum Road Transportation Business)(No. 2) Regulations, 2025",Legal Notice 182 of 2025,Subordinate Courts,2025-11-14,,https://new.kenyalaw.org/akn/ke/act/ln/2025/182/eng@2025-11-14,2026-01-20T21:37:24.772768
